129,99,100,98,99,100,101,99,98,101,101,99,99,98,101,101,101,99,100,100,100,129,100,101,98,100,101,99,100,101,98,99,100,100,99,98,101,100,101,98,99,100,129,98,100,101,98,98,129,100,101,98,100,101,98,100,98,98,100,101,98,100,131,100,98,101,100,98,101,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,129
111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111,1,1,1,1,1,111,1,1,1,1,1,1,1,1,1,1,1,1,1,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111
49,17,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,111,1,1,1,1,1,111,1,1,1,1,1,4,1,1,1,1,1,1,1,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111
129,102,102,102,102,102,102,108,1,1,1,1,1,1,1,1,1,1,1,1,1,111,1,1,1,1,1,1,103,104,104,104,107,104,104,104,107,104,104,104,105,1,111,1,5,1,1,1,111,1,106,102,102,102,102,102,102,102,102,102,108,1,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111
129,100,100,101,101,65,98,99,102,102,102,108,1,1,1,4,1,1,1,1,1,111,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111,104,104,104,105,1,111,1,111,135,136,138,131,135,136,138,131,135,138,1,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111
111,1,1,1,1,33,1,1,100,99,98,127,102,102,102,102,102,102,102,105,1,129,113,104,104,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,49,1,1,1,1,1,111,1,111,100,98,100,99,100,100,99,98,100,99,1,131,1,1,1,1,106,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,108,1,106,102,102,102,102,102,111
111,1,1,4,1,33,1,1,1,1,1,1,100,101,98,100,98,99,99,1,1,111,98,1,1,1,1,1,1,4,1,1,1,106,102,102,102,102,102,102,102,102,129,1,1,1,1,1,111,1,111,1,1,1,1,1,1,1,1,1,1,1,131,1,1,1,106,135,136,136,136,136,136,137,136,136,136,136,137,136,136,136,136,136,136,137,136,136,136,136,138,131,1,131,109,109,109,109,109,111
129,102,102,102,102,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111,1,1,1,1,1,1,103,104,104,104,102,111,101,98,99,100,98,101,100,98,100,1,1,106,107,107,111,1,111,1,1,1,1,1,1,1,1,1,1,1,131,1,1,103,100,100,100,99,99,98,99,99,99,98,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,131,1,131,109,109,109,109,109,111
111,99,101,100,98,98,105,1,1,1,1,1,1,1,1,5,1,1,1,1,106,111,1,1,1,1,1,1,1,1,1,1,1,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,111,1,106,102,102,102,102,102,102,102,102,102,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,131,1,131,120,113,113,113,113,111
111,1,1,1,1,1,1,1,1,1,5,1,1,106,102,102,102,102,102,102,102,102,102,104,104,105,1,1,1,5,1,1,1,111,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,111,1,131,135,136,138,131,135,136,136,137,138,131,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,131,1,131,113,113,113,113,113,111
