mud
132,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,111
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
111,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,111
111,0,2,0,0,0,0,0,0,0,106,108,9,0,0,0,1,0,0,111
111,115,116,116,118,108,0,102,0,0,130,116,116,116,116,108,0,0,0,111
111,99,99,99,99,99,0,99,0,0,123,99,99,99,99,99,105,0,1,111
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,111
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,106,111
111,0,0,0,0,0,4,0,0,0,0,5,0,0,0,106,115,118,115,111
111,0,0,0,0,106,115,116,116,116,116,116,116,116,116,109,109,110,110,111
111,104,105,0,0,99,99,99,99,99,99,99,99,99,99,99,99,134,134,111
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,111
111,108,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,134,111
111,110,115,116,116,116,116,118,108,1,1,0,0,0,0,0,106,102,134,111
111,121,99,99,99,99,99,98,125,1,0,0,0,0,0,106,109,109,109,111
111,131,0,0,0,0,0,0,0,0,0,0,5,0,0,145,0,0,16,1
111,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,16,1
111,0,0,0,0,0,0,0,0,0,106,102,121,0,0,0,8,0,16,1
111,108,0,4,0,0,106,116,116,118,134,134,134,116,116,116,116,116,116,116
111,111,116,116,116,116,135,136,136,136,136,136,136,138,139,139,139,139,139,139
132,127,127,127,127,127,127,127,127,127,127,127,127,127,145,145,145,145,139,139
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
