129,99,99,99,99,99,99,99,99,99,99,99,129,134,134,134,134,134,134,129
130,1,1,1,1,1,1,1,1,1,1,1,130,99,99,99,99,99,99,130
130,1,1,1,1,1,1,1,1,1,1,1,130,1,1,1,1,1,1,130
130,1,1,1,1,1,1,1,1,1,1,1,130,1,1,1,1,1,20,49
130,1,2,1,1,12,1,12,1,1,1,1,130,33,1,12,1,4,106,130
132,115,117,116,117,116,118,108,1,1,1,106,115,50,117,116,117,116,116,132
131,135,136,137,136,136,137,138,1,1,1,135,136,137,136,137,136,137,138,131
132,101,99,98,99,98,99,125,1,1,1,123,101,65,98,99,98,98,99,132
49,18,1,1,1,1,1,1,1,1,1,1,1,34,1,1,1,1,1,130
130,1,1,1,1,1,1,1,1,11,1,1,1,34,1,17,1,1,1,130
132,115,116,116,117,116,116,117,118,51,115,117,116,65,116,50,65,36,36,65
100,132,100,100,98,100,130,100,98,100,100,98,100,100,98,100,125,1,1,130
16,65,1,1,1,1,130,1,1,1,1,1,1,1,1,1,1,1,1,130
16,37,1,1,1,21,49,1,1,1,1,1,1,1,1,1,1,1,1,130
16,37,1,1,19,106,130,1,1,1,140,141,141,141,141,142,1,1,1,130
117,65,104,104,50,127,128,1,1,1,144,143,143,143,143,143,1,1,1,130
130,1,1,1,1,1,1,1,1,1,144,1,1,1,1,1,1,1,1,130
130,1,1,1,1,1,1,1,1,1,144,10,1,1,1,1,1,1,1,130
130,1,5,12,35,1,1,1,1,140,143,102,102,102,102,143,142,1,1,130
130,102,102,102,50,102,102,102,102,110,110,133,133,133,110,110,110,102,102,102
